epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,794.817,2.04867,2.48476,1.83925,0.40139,0.36679,0.30763,0.11536,2.10116,2.27401,1.93351,0.000665325,0.000665325,0.000665325
2,1637.36,2.11363,2.14661,1.90142,0.12561,0.45973,0.09379,0.03586,2.18788,4.38384,2.04571,0.00128804,0.00128804,0.00128804
3,2346.43,2.09212,2.15437,1.89738,0.41269,0.34568,0.31901,0.11675,2.12742,2.15774,2.01164,0.00186675,0.00186675,0.00186675
4,3057.28,2.07998,2.09952,1.88606,0.53368,0.39851,0.41811,0.16592,2.05681,2.08236,1.8703,0.001802,0.001802,0.001802
5,3716.43,2.02597,2.04058,1.85877,0.45774,0.39331,0.39645,0.16896,1.93458,2.02802,1.8356,0.001736,0.001736,0.001736
6,5450.74,1.96784,1.96485,1.81523,0.43511,0.42379,0.35629,0.15384,1.93876,2.12462,1.8487,0.00167,0.00167,0.00167
7,6108.91,1.96292,1.95854,1.8071,0.398,0.46697,0.39287,0.16058,1.91809,1.92431,1.80788,0.001604,0.001604,0.001604
8,6730.86,1.92585,1.92382,1.76278,0.47206,0.43866,0.44836,0.19496,1.87218,1.84708,1.77838,0.001538,0.001538,0.001538
9,7336.9,1.89422,1.86679,1.74944,0.58721,0.44773,0.50378,0.22242,1.82565,1.73549,1.76814,0.001472,0.001472,0.001472
10,7931.03,1.85545,1.7762,1.70245,0.54974,0.48451,0.49226,0.22818,1.79214,1.71258,1.68969,0.001406,0.001406,0.001406
11,8544.86,1.85636,1.73291,1.72355,0.52,0.47708,0.47539,0.22504,1.76834,1.72523,1.68046,0.00134,0.00134,0.00134
12,10922.2,1.82705,1.7371,1.68047,0.60141,0.47088,0.52491,0.24349,1.77216,1.66163,1.6975,0.001274,0.001274,0.001274
13,11556.7,1.78179,1.72738,1.6708,0.58326,0.52912,0.55006,0.25842,1.73979,1.59871,1.65167,0.001208,0.001208,0.001208
14,13024.3,1.79478,1.68595,1.66071,0.63525,0.49206,0.54239,0.25374,1.74474,1.63401,1.67507,0.001142,0.001142,0.001142
15,13653.5,1.78419,1.63529,1.65734,0.57754,0.50482,0.53431,0.25432,1.76749,1.63591,1.70441,0.001076,0.001076,0.001076
16,14285.7,1.76231,1.6153,1.67373,0.62781,0.5031,0.56537,0.27194,1.71627,1.53635,1.64833,0.00101,0.00101,0.00101
17,14997.6,1.7356,1.63049,1.62183,0.64519,0.52664,0.58201,0.28324,1.67402,1.53295,1.62649,0.000944,0.000944,0.000944
18,15952.4,1.72212,1.5772,1.62262,0.65421,0.53656,0.58776,0.28877,1.69334,1.4883,1.63835,0.000878,0.000878,0.000878
19,16589.9,1.69713,1.54095,1.61118,0.6814,0.52788,0.5974,0.29283,1.66763,1.47083,1.62309,0.000812,0.000812,0.000812
20,17232.8,1.68989,1.54904,1.60231,0.64217,0.5254,0.58437,0.28541,1.68711,1.51454,1.62118,0.000746,0.000746,0.000746
21,17857.2,1.65385,1.50565,1.61552,0.66945,0.51301,0.58526,0.2925,1.65289,1.49069,1.61401,0.00068,0.00068,0.00068
22,18458.7,1.61258,1.42556,1.57657,0.65928,0.51921,0.60611,0.30058,1.69372,1.46754,1.62761,0.000614,0.000614,0.000614
23,19057.7,1.60462,1.40511,1.5801,0.67815,0.54047,0.6084,0.29421,1.67891,1.47188,1.62223,0.000548,0.000548,0.000548
24,19675.3,1.58387,1.37626,1.57513,0.68907,0.53036,0.60842,0.30257,1.66746,1.46079,1.62073,0.000482,0.000482,0.000482
25,20303.4,1.55271,1.35913,1.5316,0.6856,0.54315,0.61816,0.30474,1.68433,1.41788,1.63569,0.000416,0.000416,0.000416
26,20931.1,1.53051,1.30351,1.52033,0.66531,0.56258,0.63066,0.31545,1.64163,1.40224,1.61672,0.00035,0.00035,0.00035
27,21569.1,1.52779,1.27529,1.52758,0.70402,0.56885,0.63603,0.3217,1.64424,1.36915,1.60807,0.000284,0.000284,0.000284
28,22182.2,1.52468,1.25968,1.51813,0.67421,0.56382,0.62482,0.31967,1.64236,1.40104,1.60462,0.000218,0.000218,0.000218
29,22810,1.49553,1.26466,1.51268,0.67591,0.55514,0.62685,0.32402,1.61877,1.391,1.58928,0.000152,0.000152,0.000152
30,23494.4,1.47437,1.24159,1.49946,0.71529,0.52613,0.62696,0.32646,1.61212,1.35769,1.59391,8.6e-05,8.6e-05,8.6e-05
